,Datetime,Tweet Id,Text,Username
74,2023-02-22 01:25:07+00:00,1628204204270714880,@pwidakuswara @mbhattacharya46 Pepi Aprianti Utami  adalah orang Indonesia yang tinggal di Ukraina. Dia adalah saksi kekejaman invasi Rusia https://t.co/DmpjQNrbEr,didithardworker
75,2023-02-22 00:24:11+00:00,1628188870927056897,"Rusia saat ini sdh ga beda dg Soviet dl, tertutup dan represif. Sejak invasi ke Ukraina, sdh 20.000 orang dipenjara dan lebih dr 500,000 lari ke luar negeri

https://t.co/Ncm81ttrW8",ngabdul
76,2023-02-21 23:50:31+00:00,1628180396608479232,@Menlu_RI Invasi Rusia ke Ukraina harus dikecam keras karena bertentangan dengan Pembukaan UUD 1945  Alinea Pertama,didithardworker
77,2023-02-21 22:39:15+00:00,1628162460493520896,"Biden Sebut Invasi Rusia Adalah Ujian Bagi AS, NATO, Eropa dan Dunia https://t.co/sDtTZ0UZ70",sumbawanews
78,2023-02-21 22:25:11+00:00,1628158924355694592,"@trinitym234 @BackMrbobo @pengarang_sajak Semua saluran imformasi skrng yg punya perusahaan? besar. dibelakangnya siapa tinggal kontrol. Skrng semua asset org rusia disita? semua sm barat. Amerika invasi afagnistan lebanon iraq pd diem

Bullshit partai demokrat amerika, amerika cuma hidup dari perang buat jalanin ekonomi",Mr_Scrypto
79,2023-02-21 18:25:22+00:00,1628098572699963393,"Putin Tangguhkan Perjanjian New Start, Ketegangan Rusia dan Barat Meningkat setelah Invasi Ukraina - https://t.co/qsvaJ16LRQ",Faktorutama
80,2023-02-21 16:20:01+00:00,1628067026915983362,"Setahun Invasi Rusia, Dubes Uni Eropa: Waspadai Dampak Global

https://t.co/J6ef69Cvud",GATRA_com
81,2023-02-21 14:53:14+00:00,1628045186935967744,"@pengarang_sajak Rusia itu invasi Ukraiani 24 Februari 2022, Jevelin US itu masuk Ukraina Mei 2022 saat Rusia sdh gagal taklukan Kiev. HIMARS tiba di Ukraina 23 Juni 22. Cuma 20 HIMARS broh ?? selebihnya Ukraina hanya andalkan senjata lama buatan Rusia dan 12 unit UAV Bayraktar buatan Turki.",IamIl01
82,2023-02-21 13:45:04+00:00,1628028032744296448,"Peringatan Setahun Perang di Ukraina, Putin Salahkan AS dan NATO. Kyiv telah meminta bantuan persenjataan kepada negara-negara Barat sebelum dimulai invasi Rusia. Dan Rusia telah melakukan segala cara untuk menghindari perang.  https://t.co/nSo2zV6WLg",mediaindonesia
83,2023-02-21 12:45:08+00:00,1628012946726203393,@ConversationIDN Pepi Aprianti Utami adalah orang Indonesia yang tinggal di Ukraina. Dia punya akun Instagram Radio Ukraina yang memberitakan kekejaman invasi Rusia. Dia bekerja sama dengan Kedutaan Besar Ukraina di Indonesia,didithardworker
84,2023-02-21 12:32:00+00:00,1628009643351113728,Putin berpidato menjelang peringatan satu tahun invasi Rusia ke Ukraina. https://t.co/2yvb5WfuOU,republikaonline
85,2023-02-21 12:30:00+00:00,1628009138981683200,"Invasi Rusia ke Ukraina, beberapa hari menjelang peringatan satu tahunnya, adalah topik dari dua pidato terkemuka pada Selasa (21/2) saat Presiden Rusia Vladimir Putin berpidato di depan parlemen negaranya.

https://t.co/hG6Eff5I52",voaindonesia
86,2023-02-21 12:26:14+00:00,1628008193266970626,Pidato Putin disampaikan di Moskow pada Selasa (21/2) jelang satu tahun invasi Rusia ke Ukraina. #NewsUpdate #Update #News #Text https://t.co/RgWY1tT2P0,kumparan
87,2023-02-21 12:15:29+00:00,1628005488091889670,"Kunjungan ini merupakan yg pertama kalinya &amp; beberapa hari jelang peringatan satu tahun invasi Rusia. Biden mengatakan bahwa dia ada di sana untuk menunjukkan dukungan AS terhadap kemerdekaan, kedaulatan &amp; integritas wilayah negara Ukraina.

https://t.co/4K1D8Ou02u

#as #ukraina",IDefenseMagz
88,2023-02-21 12:00:03+00:00,1628001604359323648,"@ConversationIDN Ada 2 pandangan saya tentang invasi Rusia ke Ukraina yaitu secara umum dan spesifik.
Secara umum tentunya adalah persaingan erofa barat dan timur, secara spesifik menurut saya, ada sesuatu yg ditargetkan kpd para penganut Kristen ortodok dari pihak zionis sm halnya dgn disyiria-",SiswantaraR
89,2023-02-21 11:16:53+00:00,1627990741304897536,"@KontanNews Sama sja AS sring lakukan PEMBANTAIAN &amp; KEJAHATAN MANUSIA, kalian sama2 ngara Agresor &amp; layak utk diHANCURKAN Ekonominya, AS sampai dunia kiamat tdk akan bisa bayar UTANG maka Rusia sdh mulai minum Racun sejak 10 th lalu &amp; merasa kuat lalu invasi.

Buuuahahahahahahahahahahahahaha",Grivod
90,2023-02-21 11:15:07+00:00,1627990295584587778,"Ekonomi Rusia Susut 2,1% Akibat Invasi ke Ukraina #ekonomi #rusia #invasi https://t.co/D6WZBUgz5f",ceklissatucom
91,2023-02-21 10:53:18+00:00,1627984805374873600,China Ungkap Pejabat Beijing Kunjungi Rusia Jelang Setahun Invasi https://t.co/cY1lDl22cy,CNNIndonesia
92,2023-02-21 10:53:10+00:00,1627984771497308161,"Presiden Rusia Vladimir Putin menyampaikan pidato kenegaraannya pada hari Selasa (21/2), menjelang peringatan setahun invasi Rusia ke Ukraina.  https://t.co/4Q721w6au9",detikcom
93,2023-02-21 10:44:14+00:00,1627982520796209154,"Pura-pura pintar padahal dengan satu perintah invasi bodoh sekali hap menghancurkan potensi pertumbuhan ekonomi Rusia untuk bertahun-tahun bahkan bergenerasi. 

Padahal belasan tahun sudah ""ditoleransi"" (Chechnya, Georgia, Kazakhstan, bahkan Ukraina berkali-kali).",f_fz
94,2023-02-21 08:35:12+00:00,1627950050868604928,"Dampak invasi:
sanksi/embargo utk Rusia,dampak ke kita tdk bisa harwat alutsista kita asal Rusia,apakah perlu cari alternatif?atau segera diganti pes baru?ada uangnya?dari neg mana?",EnricoE39
95,2023-02-21 08:26:09+00:00,1627947771558002688,"Paparan Novan:
Satu Tahun Invasi Rusia ke Ukraina
Pelajaran bagi pembangunan sektor pertahanan Indonesia",EnricoE39
96,2023-02-21 08:06:56+00:00,1627942937459036167,Invasi Rusia ke Ukraina sudah berlangsung setahun. Tak ada tanda-tanda perang akan berakhir dalam waktu dekat. NATO dan sejumlah pihak pesimistis. https://t.co/t3u01r5Hqg,tempodotco
97,2023-02-21 07:37:00+00:00,1627935403234951168,Presiden Amerika Serikat melakukan kunjungan mendadak ke Ukraina pada Senin. Biden berjanji akan terus mendukung Ukraina dan memberikan bantuan militer baru ke Ukraina. Kunjungan Biden dilakukan menjelang peringatan satu tahun invasi Rusia. https://t.co/ns6OyEQSsE https://t.co/K39HbAtSyM,CNNIDdaily
98,2023-02-21 06:49:37+00:00,1627923480527396864,Joe Biden melakukan kunjungan mendadak ke Ukraina jelang satu tahun invasi Rusia. Apa yang akan mereka bahas? Simak video berikut. #newsupdate #update #news #newsflash https://t.co/n0fTI8CA6w,kumparan
99,2023-02-21 06:31:19+00:00,1627918874435026946,"Tegangnya Perjalanan Biden Ke Ukraina, Jelang Setahun Invasi Rusia
 https://t.co/6ibCoqUltW",_rakyatmerdeka
100,2023-02-21 06:00:08+00:00,1627911024585375744,"Setahun invasi Rusia ke Ukraina, kebutuhan peralatan militer meningkat dan amunisi baru mendominasi pembicaraan. Perlombaan senjata baru pun dimulai. https://t.co/66vt9aSVWX",Bisniscom
101,2023-02-21 05:22:35+00:00,1627901576429043714,Biden berada di Kiev menjelang peringatan satu tahun invasi Rusia ke Ukraina. https://t.co/JjE1dw5KwZ,republikaonline
102,2023-02-21 05:19:18+00:00,1627900750226681856,"Invasi Rusia ke Ukraina memasuki tahun kedua bulan ini.

Perang Rusia-Ukraina selama berbulan-bulan di Bakhmut ini memakan korban ratusan orang Ukraina dan Rusia setiap hari.  

#MajalahTempo https://t.co/v3lPqx5L7D",temponewsroom
103,2023-02-21 04:30:00+00:00,1627888342388862977,"Majelis Umum PBB akan melangsungkan pemungutan suara pada minggu ini mengenai resolusi yang menggarisbawahi urgensi untuk menemukan perdamaian abadi di Ukraina, satu tahun setelah invasi Rusia pada 24 Februari 2022.

https://t.co/ylDCeNkT7O",voaindonesia
104,2023-02-21 04:20:05+00:00,1627885850045599745,Biden kunjungi Kiev jelang setahun invasi Rusia di Ukraina https://t.co/XaJ3binJuU,sabhatansabiz
105,2023-02-21 03:59:37+00:00,1627880699121266689,Biden Kunjungi Ukraina Jelang Peringatan 1 Tahun Invasi Rusia https://t.co/XfcZ1Q4bRS https://t.co/n6ZZV1cIyI,ForumTerkini
106,2023-02-21 03:56:24+00:00,1627879886475137024,"Jelang Satu Tahun Invasi Rusia, Joe Biden Temui Zelensky di Kyiv https://t.co/EcjOXCIbnh",IdSinpo
107,2023-02-21 03:45:02+00:00,1627877028560252929,Mengenang 1 Tahun Invasi Rusia ke Ukraina https://t.co/aScUZDGnko,VIVAcoid
108,2023-02-21 03:18:29+00:00,1627870344760684544,"Presiden AS Joe Biden hari Senin kemarin melakukan kunjungan mendadak ke Kiev, dan menjanjikan persenjataan baru dan dukungan bagi sekutu mereka Ukraina menjelang peringatan 1 tahun invasi Rusia. https://t.co/scDkgJPSbi",XinwenMetroTV
109,2023-02-21 03:15:00+00:00,1627869468029489153,"Presiden AS Joe Biden melakukan kunjungan dadakan ke Ukraina. Dalam kunjungan ini, Joe Biden membahas topik seputar invasi Rusia dengan Presiden Ukraina Volodymyr Zelenskiy. https://t.co/44LjfiWzI2",detikcom
110,2023-02-21 03:00:42+00:00,1627865870700777474,@yo2thok Kalian bangga rusia invasi ke Ukraine negara berdaulat. Tapi ga tau kalau efeknya bisa ke Indonesia. Pemuja putin emang aneh,rizalgiggs
111,2023-02-21 03:00:00+00:00,1627865695651524609,"Tweeps, Presiden AS Joe Biden mengunjungi Kyiv, Ukraina secara mendadak, menjelang peringatan setahun invasi Rusia. Sementara, Jubir Menhan RI menilai ketakutan terkait wacana penambahan Kodam di setiap provinsi berlebihan. Simak infonya di sini! https://t.co/tJZE5VQ8Hi",voaindonesia
